693886.000 3519746.000   1000.000     13.240      0.000      0.000      0.000      0.000      0.000      0.000      0.126      2.368      7.251      3.236      0.259      0.000      0.000
690392.000 3521840.000   1000.000     18.460      0.000      0.000      0.000      0.000      0.000      0.026      0.397      4.032      9.439      4.138      0.428      0.000      0.000
686782.000 3523952.000   1000.000     22.860      0.000      0.000      0.000      0.000      0.082      0.257      2.011      7.726      9.136      2.752      0.895      0.000      0.000
684434.000 3527868.000   1000.000     35.360      0.000      0.000      0.000      0.000      2.753      9.624     13.505      8.083      1.074      0.026      0.294      0.000      0.000
696958.000 3511255.000   1000.000      2.110      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.035      1.027      1.044      0.000      0.000
697915.000 3506806.000   1000.000      0.750      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.002      0.003      0.151      0.589      0.000      0.000
700995.000 3501221.000   1000.000      0.440      0.000      0.000      0.000      0.000      0.000      0.000      0.001      0.001      0.002      0.008      0.426      0.000      0.000
704374.000 3503413.000   1000.000      0.150      0.000      0.000      0.000      0.000      0.000      0.000      0.010      0.003      0.001      0.018      0.117      0.000      0.000
708574.000 3505444.000   1000.000      2.400      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.002      0.074      1.309      1.019      0.000      0.000
711659.000 3503535.000   1000.000      1.820      0.000      0.000      0.000      0.000      0.000      0.000      0.003      0.001      0.031      1.044      0.741      0.000      0.000
715769.000 3502973.000   1000.000      2.190      0.000      0.000      0.000      0.000      0.000      0.000      0.003      0.004      0.017      1.077      1.092      0.000      0.000
725645.000 3499301.000   1000.000      1.600      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.002      0.556      1.042      0.000      0.000
724658.000 3494691.000   1000.000      1.200      0.000      0.000      0.000      0.000      0.000      0.000      0.001      0.002      0.003      0.168      1.026      0.000      0.000
725412.000 3508182.000   1000.000      2.160      0.000      0.000      0.000      0.000      0.000      0.003      0.007      0.004      0.036      0.957      1.153      0.000      0.000
716245.000 3509869.000   1000.000      2.400      0.000      0.000      0.000      0.000      0.000      0.000      0.009      0.002      0.224      1.671      0.494      0.000      0.000
713247.000 3514971.000   1000.000      3.210      0.000      0.000      0.000      0.000      0.000      0.000      0.001      0.013      0.461      2.138      0.598      0.000      0.000
706219.000 3512375.000   1000.000      2.890      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.004      0.743      1.796      0.342      0.000      0.000
703503.000 3516712.000   1000.000      5.090      0.000      0.000      0.000      0.000      0.000      0.000      0.002      0.071      2.303      2.334      0.379      0.000      0.000
700509.000 3520963.000   1000.000      6.990      0.000      0.000      0.000      0.000      0.000      0.002      0.110      1.534      3.289      1.695      0.359      0.000      0.000
694264.000 3519503.000   1000.000     12.930      0.000      0.000      0.000      0.000      0.000      0.000      0.123      1.882      6.558      3.812      0.555      0.000      0.000
697674.000 3524461.000   1000.000      4.180      0.000      0.000      0.000      0.000      0.000      0.129      0.542      1.270      1.619      0.311      0.308      0.000      0.000
690390.000 3534404.000   1000.000      2.200      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.002      0.061      0.283      1.853      0.000      0.000
680095.000 3524929.000   1000.000      0.910      0.000      0.000      0.000      0.000      0.000      0.000      0.001      0.014      0.273      0.527      0.092      0.000      0.000
680148.000 3525365.000   1000.000      3.000      0.000      0.000      0.000      0.000      0.000      0.005      0.020      0.290      1.319      1.169      0.197      0.000      0.000
681416.000 3525624.000   1000.000      3.000      0.000      0.000      0.000      0.000      0.000      0.016      0.133      1.063      1.402      0.247      0.140      0.000      0.000
682618.000 3526179.000   1000.000     16.420      0.000      0.000      0.000      0.000      0.000      0.087      0.699      3.365      5.212      4.243      2.813      0.000      0.000
682595.000 3526616.000   1000.000     15.900      0.000      0.000      0.000      0.000      0.000      0.312      1.819      4.909      5.095      2.300      1.465      0.000      0.000
681261.000 3526509.000   1000.000      5.480      0.000      0.000      0.000      0.000      0.000      0.017      0.253      1.492      1.621      1.250      0.851      0.000      0.000
684093.000 3527061.000   1000.000     60.800      0.000      0.000      0.000      0.000      0.349      2.487      6.038     19.080     23.203      2.332      7.311      0.000      0.000
685666.000 3528507.000   1000.000      9.810      0.000      0.000      0.000      0.000      0.000      0.000      0.304      0.747      0.288      1.094      7.375      0.000      0.000
686915.000 3528610.000   1000.000      7.600      0.000      0.000      0.000      0.000      0.063      0.528      2.534      2.679      0.280      0.144      1.372      0.000      0.000
686951.000 3529220.000   1000.000      1.610      0.000      0.000      0.000      0.000      0.028      0.107      0.133      0.131      0.057      0.037      1.121      0.000      0.000
686547.000 3527722.000   1000.000     18.860      0.000      0.000      0.000      0.000      2.540      3.223      2.649      4.042      1.612      0.559      4.233      0.000      0.000
686691.000 3526449.000   1000.000     37.600      0.000      0.000      0.000      0.000      0.693      4.434      7.115     11.793      8.343      0.739      4.483      0.000      0.000
689586.000 3524204.000   1000.000     28.000      0.000      0.000      0.000      0.000      0.023      0.636      2.755      9.908     12.132      0.750      1.797      0.000      0.000
695295.000 3523531.000   1000.000     11.000      0.000      0.000      0.000      0.000      0.000      0.186      1.034      3.535      4.569      0.924      0.752      0.000      0.000
703877.000 3518408.000   1000.000      5.800      0.000      0.000      0.000      0.000      0.000      0.000      0.015      0.240      3.406      1.750      0.390      0.000      0.000
679276.000 3529745.000   1000.000    234.220      0.000      0.000      0.000      0.000     47.066     38.836     54.831     52.423     23.896      8.923      8.247      0.000      0.000
679303.000 3529312.000   1000.000     45.000      0.000      0.000      0.000      0.000      0.000      3.041     13.378     17.432      8.919      1.569      0.224      0.128      0.309
679604.000 3529708.000   1000.000    250.000      0.000      0.000      0.000      2.203     14.286     56.440     85.370     70.073     16.584      2.723      0.964      0.519      0.839
690924.000 3515140.000   1000.000     15.000      0.000      0.000      0.000      0.000      0.000      0.196      2.768      6.740      3.069      1.459      0.077      0.138      0.553
693340.000 3522755.000   1000.000     40.000      0.000      0.000      0.000      0.000      0.000      1.434      8.406     19.604      9.537      0.825      0.021      0.028      0.146
687552.000 3525097.000   1000.000     60.000      0.000      0.000      0.000      0.000      3.107     15.403     22.118     16.543      2.046      0.092      0.031      0.197      0.463
684562.000 3527877.000   1000.000     35.000      0.000      0.000      0.000      0.000      1.011      5.899     12.753     11.517      3.539      0.118      0.024      0.021      0.118
686949.000 3528598.000   1000.000     28.000      0.000      0.000      0.000      0.000      1.530      5.653      9.555      8.380      2.372      0.049      0.024      0.049      0.389
683897.000 3524957.000   1000.000     28.000      0.000      0.000      0.000      0.000      0.560      2.777      7.653      9.917      6.393      0.467      0.023      0.023      0.187
686957.000 3525881.000   1000.000     22.000      0.000      0.000      0.000      0.000      0.000      0.601      6.652     10.058      3.286      0.495      0.165      0.103      0.639
690685.000 3524085.000   1000.000     15.000      0.000      0.000      0.000      0.000      0.000      0.056      1.679      6.938      3.497      0.962      1.130      0.140      0.598
679954.000 3530269.000   1000.000     90.000      0.000      0.000      0.000      0.000      4.311     21.736     30.359     24.252      7.006      1.274      0.212      0.212      0.637
688935.000 3526579.000   1000.000     19.000      0.000      0.000      0.000      0.000      0.000      0.372      1.714      6.209      7.859      2.197      0.133      0.083      0.433
690142.000 3523136.000   1000.000     19.000      0.000      0.000      0.000      0.000      0.000      0.000      1.198      9.230      8.120      0.234      0.015      0.029      0.175
703798.000 3517221.000   1000.000      4.000      0.000      0.000      0.000      0.000      0.000      0.000      0.009      0.009      0.643      2.703      0.589      0.006      0.040
695039.000 3516375.000   1000.000     10.000      0.000      0.000      0.000      0.000      0.000      0.000      0.053      0.758      4.368      4.628      0.127      0.002      0.064
701687.000 3520374.000   1000.000      8.000      0.000      0.000      0.000      0.000      0.000      0.000      0.051      0.509      4.360      2.791      0.181      0.015      0.094
699209.000 3518130.000   1000.000      6.000      0.000      0.000      0.000      0.000      0.000      0.000      0.010      0.095      1.657      3.809      0.365      0.010      0.055
691998.000 3520374.000   1000.000     10.000
688621.000 3522661.000   1000.000     18.000
685128.000 3524972.000   1000.000     15.000
682997.000 3529018.000   1000.000     51.000
682918.000 3528234.000   1000.000     55.330
681638.000 3527822.000   1000.000     43.670
681039.000 3527366.000   1000.000     14.000
680657.000 3526608.000   1000.000      3.670
678947.000 3526583.000   1000.000      1.330
694601.000 3511716.000   1000.000      1.000
695312.000 3507215.000   1000.000      0.900
696941.000 3502803.000   1000.000      0.400
698084.000 3501463.000   1000.000      0.400
701582.000 3503468.000   1000.000      0.240
705892.000 3505267.000   1000.000      1.000
708871.000 3503189.000   1000.000      1.000
712948.000 3502401.000   1000.000      1.000
722616.000 3498188.000   1000.000      0.900
721377.000 3493636.000   1000.000      0.900
722872.000 3507077.000   1000.000      0.900
713803.000 3509268.000   1000.000      0.400
711088.000 3514532.000   1000.000      1.250
703920.000 3512325.000   1000.000      1.500
701444.000 3516810.000   1000.000      3.500
698686.000 3521225.000   1000.000      6.000
692363.000 3520111.000   1000.000     11.500
696046.000 3524878.000   1000.000      4.750
689315.000 3535222.000   1000.000      2.000
684869.000 3531241.000   1000.000      6.670
678497.000 3526320.000   1000.000      0.900
678573.000 3526752.000   1000.000      2.000
679856.000 3526941.000   1000.000      4.000
681089.000 3527429.000   1000.000     14.250
681089.000 3527867.000   1000.000     32.000
680686.000 3527851.000   1000.000     15.000
679750.000 3527834.000   1000.000      5.500
682612.000 3528230.000   1000.000     59.250
684265.000 3529588.000   1000.000      5.000
685520.000 3529621.000   1000.000      8.250
685667.000 3530341.000   1000.000      3.670
685590.000 3530230.000   1000.000      2.500
685103.000 3528754.000   1000.000     20.000
685176.000 3527474.000   1000.000     42.250
685662.000 3526798.000   1000.000     20.000
687017.000 3524683.000   1000.000     17.330
687946.000 3525069.000   1000.000     26.000
690629.000 3523226.000   1000.000     15.000
693617.000 3524080.000   1000.000     11.000
694614.000 3534361.000   1000.000      0.800
697120.000 3529117.000   1000.000      0.300
699251.000 3526926.000   1000.000      0.300
699620.000 3523911.000   1000.000      1.670
701912.000 3518484.000   1000.000      4.000
677921.000 3530726.000   1000.000     55.000
678330.000 3531108.000   1000.000    150.000
677945.000 3531181.000   1000.000    180.000
677607.000 3529962.000   1000.000     43.000
677319.000 3529421.000   1000.000     12.000
682730.000 3528208.000   1000.000     50.000
685508.000 3529620.000   1000.000     20.000
685518.000 3529780.000   1000.000     18.000
697972.000 3527237.000   1000.000      1.000
684864.000 3531704.000   1000.000      3.000
