#ID	x(m)	y(m)	elev	S(kg_per_sqm)	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5
KS046	686691	3526449	288	37.60	0.0000	0.0000	0.0000	0.0000	0.6930	4.4345	7.1148	11.7929	8.3428	0.7388	4.4833	0.0000	0.0000
KS049	689586	3524204	198	28.00	0.0000	0.0000	0.0000	0.0000	0.0229	0.6365	2.7549	9.9075	12.1320	0.7495	1.7967	0.0000	0.0000
KS051	695295	3523531	157	11.00	0.0000	0.0000	0.0000	0.0000	0.0000	0.1863	1.0342	3.5348	4.5691	0.9238	0.7517	0.0000	0.0000
KS058	703877	3518408	158	5.80	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0145	0.2402	3.4057	1.7499	0.3896	0.0000	0.0000
KS062	679276	3529745	1045	234.22	0.0000	0.0000	0.0000	0.0000	47.0658	38.8356	54.8313	52.4231	23.8963	8.9231	8.2471	0.0000	0.0000
MB001	679303	3529312	971	45	0.0000	0.0000	0.0000	0.0000	0.0000	3.0405	13.3784	17.4324	8.9189	1.5687	0.2241	0.1277	0.3092
MB004	679604	3529708	1025	250	0.0000	0.0000	0.0000	2.2034	14.2857	56.4396	85.3701	70.0735	16.5838	2.7228	0.9635	0.5191	0.8385
MB006	690924	3515140	190	15	0.0000	0.0000	0.0000	0.0000	0.0000	0.1956	2.7683	6.7402	3.0692	1.4589	0.0768	0.1382	0.5528
MB007	693340	3522755	279	40	0.0000	0.0000	0.0000	0.0000	0.0000	1.4336	8.4058	19.6039	9.5368	0.8247	0.0209	0.0279	0.1463
MB008	687552	3525097	465	60	0.0000	0.0000	0.0000	0.0000	3.1067	15.4032	22.1180	16.5433	2.0460	0.0921	0.0307	0.1965	0.4634
MB009	684562	3527877	653	35	0.0000	0.0000	0.0000	0.0000	1.0112	5.8989	12.7528	11.5169	3.5393	0.1180	0.0236	0.0212	0.1180
MB016	686949	3528598	308	28	0.0000	0.0000	0.0000	0.0000	1.5297	5.6532	9.5550	8.3800	2.3721	0.0486	0.0243	0.0486	0.3885
MB022	683897	3524957	260	28	0.0000	0.0000	0.0000	0.0000	0.5600	2.7767	7.6533	9.9167	6.3933	0.4667	0.0233	0.0233	0.1867
MB023	686957	3525881	187	22	0.0000	0.0000	0.0000	0.0000	0.0000	0.6011	6.6521	10.0583	3.2860	0.4950	0.1650	0.1031	0.6394
MB024	690685	3524085	168	15	0.0000	0.0000	0.0000	0.0000	0.0000	0.0555	1.6790	6.9380	3.4968	0.9623	1.1304	0.1401	0.5979
MB027	679954	3530269	987	90	0.0000	0.0000	0.0000	0.0000	4.3114	21.7365	30.3593	24.2515	7.0060	1.2738	0.2123	0.2123	0.6369
MB039	688935	3526579	251	19	0.0000	0.0000	0.0000	0.0000	0.0000	0.3719	1.7140	6.2094	7.8587	2.1969	0.1331	0.0832	0.4327
MB040	690142	3523136	275	19	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1975	9.2298	8.1199	0.2337	0.0146	0.0292	0.1752
MB106	703798	3517221	182	4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0092	0.0092	0.6431	2.7034	0.5888	0.0062	0.0401
MB116	695039	3516375	164	10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0526	0.7579	4.3684	4.6280	0.1274	0.0020	0.0637
MB121	701687	3520374	140	8	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0509	0.5086	4.3597	2.7909	0.1812	0.0145	0.0942
MB122	699209	3518130	147	6	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0945	1.6567	3.8089	0.3649	0.0100	0.0550
